==================================================================
BACKTEST: dial + SVI engine vs benchmarks
==================================================================
  Start: 2004-06-30   Tolerance: 4/5
  Costs: 0.05% round-trip per trade

  Rebalance dates: 266 (2004-06-30 -> 2026-07-31)
  SVI: 1500 steps, 2000 draws per rebalance

  [--------------------------------------------------]   0.4%  2004-06-30  port=$   10,000  dial=0.23  ETA=171.1m
  [--------------------------------------------------]   0.8%  2004-07-30  port=$   10,000  dial=0.36  ETA=164.5m
  [--------------------------------------------------]   1.1%  2004-08-31  port=$   10,000  dial=0.39  ETA=163.5m
  [--------------------------------------------------]   1.5%  2004-09-30  port=$   10,000  dial=0.28  ETA=163.6m
  [--------------------------------------------------]   1.9%  2004-10-29  port=$   10,000  dial=0.43  ETA=162.6m
  [#-------------------------------------------------]   2.3%  2004-11-30  port=$   10,262  dial=0.12  ETA=134.9m
  [#-------------------------------------------------]   2.6%  2004-12-31  port=$   10,080  dial=0.24  ETA=115.2m
  [#-------------------------------------------------]   3.0%  2005-01-31  port=$   10,268  dial=0.22  ETA=100.4m
  [#-------------------------------------------------]   3.4%  2005-02-28  port=$   10,015  dial=0.18  ETA=106.6m
  [#-------------------------------------------------]   3.8%  2005-03-31  port=$   10,027  dial=0.30  ETA=111.7m
  [##------------------------------------------------]   4.1%  2005-04-29  port=$   10,305  dial=0.44  ETA=115.7m
  [##------------------------------------------------]   4.5%  2005-05-31  port=$   10,365  dial=0.41  ETA=118.8m
  [##------------------------------------------------]   4.9%  2005-06-30  port=$   10,647  dial=0.39  ETA=120.7m
  [##------------------------------------------------]   5.3%  2005-07-29  port=$   10,631  dial=0.22  ETA=122.9m
  [##------------------------------------------------]   5.6%  2005-08-31  port=$   10,793  dial=0.24  ETA=124.4m
  [###-----------------------------------------------]   6.0%  2005-09-30  port=$   10,620  dial=0.24  ETA=125.9m
  [###-----------------------------------------------]   6.4%  2005-10-31  port=$   10,992  dial=0.55  ETA=127.0m
  [###-----------------------------------------------]   6.8%  2005-11-30  port=$   11,154  dial=0.32  ETA=127.7m
  [###-----------------------------------------------]   7.1%  2005-12-30  port=$   11,559  dial=0.36  ETA=128.5m
  [###-----------------------------------------------]   7.5%  2006-01-31  port=$   11,526  dial=0.27  ETA=128.9m
  [###-----------------------------------------------]   7.9%  2006-02-28  port=$   11,599  dial=0.32  ETA=129.0m
  [####----------------------------------------------]   8.3%  2006-03-31  port=$   11,758  dial=0.29  ETA=129.4m
  [####----------------------------------------------]   8.6%  2006-04-28  port=$   11,294  dial=0.28  ETA=130.1m
  [####----------------------------------------------]   9.0%  2006-05-31  port=$   11,259  dial=0.47  ETA=130.5m
  [####----------------------------------------------]   9.4%  2006-06-30  port=$   11,389  dial=0.47  ETA=130.8m
  [####----------------------------------------------]   9.8%  2006-07-31  port=$   11,640  dial=0.54  ETA=131.0m
  [#####---------------------------------------------]  10.2%  2006-08-31  port=$   11,854  dial=0.43  ETA=131.0m
  [#####---------------------------------------------]  10.5%  2006-09-29  port=$   12,167  dial=0.33  ETA=131.0m
  [#####---------------------------------------------]  10.9%  2006-10-31  port=$   12,440  dial=0.16  ETA=131.0m
  [#####---------------------------------------------]  11.3%  2006-11-30  port=$   12,528  dial=0.22  ETA=131.1m
  [#####---------------------------------------------]  11.7%  2006-12-29  port=$   12,703  dial=0.28  ETA=131.0m
  [######--------------------------------------------]  12.0%  2007-01-31  port=$   12,571  dial=0.25  ETA=131.0m
  [######--------------------------------------------]  12.4%  2007-02-28  port=$   12,619  dial=0.51  ETA=130.8m
  [######--------------------------------------------]  12.8%  2007-03-30  port=$   13,059  dial=0.54  ETA=130.8m
  [######--------------------------------------------]  13.2%  2007-04-30  port=$   13,248  dial=0.51  ETA=130.6m
  [######--------------------------------------------]  13.5%  2007-05-31  port=$   13,075  dial=0.32  ETA=130.4m
  [######--------------------------------------------]  13.9%  2007-06-29  port=$   12,814  dial=0.37  ETA=130.1m
  [#######-------------------------------------------]  14.3%  2007-07-31  port=$   13,036  dial=0.66  ETA=130.0m
  [#######-------------------------------------------]  14.7%  2007-08-31  port=$   13,448  dial=0.77  ETA=129.5m
  [#######-------------------------------------------]  15.0%  2007-09-28  port=$   13,831  dial=0.62  ETA=129.3m
  [#######-------------------------------------------]  15.4%  2007-10-31  port=$   13,640  dial=0.63  ETA=129.0m
  [#######-------------------------------------------]  15.8%  2007-11-30  port=$   13,623  dial=0.77  ETA=128.8m
  [########------------------------------------------]  16.2%  2007-12-31  port=$   13,529  dial=0.69  ETA=128.3m
  [########------------------------------------------]  16.5%  2008-01-31  port=$   13,464  dial=0.87  ETA=127.8m
  [########------------------------------------------]  16.9%  2008-02-29  port=$   13,278  dial=0.74  ETA=127.4m
  [########------------------------------------------]  17.3%  2008-03-31  port=$   13,354  dial=0.87  ETA=127.0m
  [########------------------------------------------]  17.7%  2008-04-30  port=$   13,366  dial=0.67  ETA=126.6m
  [#########-----------------------------------------]  18.0%  2008-05-30  port=$   12,681  dial=0.53  ETA=126.1m
  [#########-----------------------------------------]  18.4%  2008-06-30  port=$   12,795  dial=0.58  ETA=125.7m
  [#########-----------------------------------------]  18.8%  2008-07-31  port=$   12,791  dial=0.66  ETA=125.3m
