Starting live value poller, polling every 120s
[2026-08-12 10:33:44.420632] Recorded: $1,001,881.28
[2026-08-12 10:35:44.854771] Recorded: $1,001,881.28
[2026-08-12 10:37:45.423621] Recorded: $1,001,770.96
[2026-08-12 10:39:45.890381] Recorded: $1,001,893.53
[2026-08-12 10:41:46.498646] Recorded: $1,001,893.53
[2026-08-12 10:43:47.008801] Recorded: $1,002,087.62
[2026-08-12 10:45:47.477755] Recorded: $1,002,373.24
[2026-08-12 10:47:47.948103] Recorded: $1,002,373.24
[2026-08-12 10:49:48.417386] Recorded: $1,001,563.14
[2026-08-12 10:51:48.992533] Recorded: $1,001,062.37
[2026-08-12 10:53:49.462102] Recorded: $1,001,062.37
[2026-08-12 10:55:49.932302] Recorded: $1,001,074.90
[2026-08-12 10:57:50.404695] Recorded: $1,001,091.91
[2026-08-12 10:59:50.868473] Recorded: $1,001,091.91
[2026-08-12 11:01:51.335582] Recorded: $1,000,864.97
[2026-08-12 11:03:51.795298] Recorded: $1,000,855.61
[2026-08-12 11:05:52.260959] Recorded: $1,000,855.61
[2026-08-12 11:07:52.732833] Recorded: $1,000,930.96
[2026-08-12 11:09:53.201646] Recorded: $1,001,333.55
[2026-08-12 11:11:53.712487] Recorded: $1,001,333.55
[2026-08-12 11:13:54.173748] Recorded: $1,001,444.90
[2026-08-12 11:15:54.641419] Recorded: $1,001,448.53
[2026-08-12 11:17:55.216571] Recorded: $1,001,448.53
[2026-08-12 11:19:55.702980] Recorded: $1,001,639.11
[2026-08-12 11:21:56.178306] Recorded: $1,001,543.07
[2026-08-12 11:23:56.448609] Recorded: $1,001,543.07
[2026-08-12 11:25:56.917561] Recorded: $1,001,380.04
[2026-08-12 11:27:57.386459] Recorded: $1,001,539.10
[2026-08-12 11:29:57.992436] Recorded: $1,001,539.10
[2026-08-12 11:31:58.495541] Recorded: $1,001,933.65
[2026-08-12 11:33:58.968332] Recorded: $1,001,776.28
[2026-08-12 11:35:59.463708] Recorded: $1,001,776.28
[2026-08-12 11:37:59.931481] Recorded: $1,001,807.44
[2026-08-12 11:40:00.402501] Recorded: $1,001,624.84
[2026-08-12 11:42:00.868431] Recorded: $1,001,624.84
[2026-08-12 11:44:01.326073] Recorded: $1,001,682.45
[2026-08-12 11:46:01.803651] Recorded: $1,001,814.77
